ds,y
2006-10-23,6511
2006-10-24,14922
2006-10-25,10453
2006-10-26,11698
2006-10-27,18556
2006-10-28,31520
2006-10-29,40482
2006-10-30,7351
2006-10-31,9186
2006-11-01,10335
2006-11-02,9571
2006-11-03,11543
2006-11-04,20367
2006-11-05,26068
2006-11-06,1993
2006-11-07,1938
2006-11-08,3005
2006-11-09,4119
2006-11-10,4826
2006-11-11,14314
2006-11-12,15105
2006-11-13,2666
2006-11-14,1735
2006-11-15,1269
2006-11-16,1708
2006-11-17,2354
2006-11-18,8438
2006-11-19,14562
2006-11-20,2257
2006-11-21,1910
2006-11-22,2849
2006-11-23,1949
2006-11-24,2620
2006-11-25,11798
2006-11-26,11122
2006-11-27,348
2006-11-28,1047
2006-11-29,2035
2006-11-30,859
2006-12-01,1263
2006-12-02,1943
2006-12-03,3777
2006-12-04,790
2006-12-05,994
2006-12-06,1263
2006-12-07,807
2006-12-08,998
2006-12-09,2614
2006-12-10,4581
2006-12-11,1183
2006-12-12,1191
2006-12-13,1280
2006-12-14,1266
2006-12-15,807
2006-12-16,2385
2006-12-17,2095
2006-12-18,886
2006-12-19,985
2006-12-20,1970
2006-12-21,1496
2006-12-22,1161
2006-12-23,4616
2006-12-24,13225
2006-12-25,16442
2006-12-26,2184
2006-12-27,1306
2006-12-28,601
2006-12-29,449
2006-12-30,2359
2006-12-31,7966
2007-01-01,10203
2007-01-02,1684
2007-01-03,2628
2007-01-04,3387
2007-01-05,2545
2007-01-06,1293
2007-01-07,2990
2007-01-08,1247
2007-01-09,1563
2007-01-10,2026
2007-01-11,2014
2007-01-12,1907
2007-01-13,2983
2007-01-14,6107
2007-01-15,2130
2007-01-16,2380
2007-01-17,2342
2007-01-18,2426
2007-01-19,2558
2007-01-20,7484
2007-01-21,10972
2007-01-22,2722
2007-01-23,2644
2007-01-24,2729
2007-01-25,2607
2007-01-26,1493
2007-01-27,3667
2007-01-28,7982
2007-01-29,2071
2007-01-30,1480
2007-01-31,1246
2007-02-01,822
2007-02-02,962
2007-02-03,3321
2007-02-04,13556
2007-02-05,1970
2007-02-06,2569
2007-02-07,3102
2007-02-08,638
2007-02-09,1743
2007-02-10,6978
2007-02-11,10150
2007-02-12,1901
2007-02-13,1130
2007-02-14,762
2007-02-15,992
2007-02-16,1824
2007-02-17,4112
2007-02-18,13111
2007-02-19,24252
2007-02-20,10432
2007-02-21,3513
2007-02-22,2989
2007-02-23,2886
2007-02-24,12497
2007-02-25,20394
2007-02-26,6067
2007-02-27,6584
2007-02-28,6742
2007-03-01,49579
2007-03-02,299
2007-03-03,6852
2007-03-04,2098
2007-03-05,375
2007-03-06,475
2007-03-07,854
2007-03-08,957
2007-03-09,2011
2007-03-10,3070
2007-03-11,5190
2007-03-12,1675
2007-03-13,2627
2007-03-14,3432
2007-03-15,3809
2007-03-16,3393
2007-03-17,22406
2007-03-18,43396
2007-03-19,4680
2007-03-20,3456
2007-03-21,1180
2007-03-22,2869
2007-03-23,4912
2007-03-24,4250
2007-03-25,43204
2007-03-26,3701
2007-03-27,2690
2007-03-28,1806
2007-03-29,2831
2007-03-30,6216
2007-03-31,2738
2007-04-01,9206
2007-04-02,6525
2007-04-03,5733
2007-04-04,5446
2007-04-05,9550
2007-04-06,10852
2007-04-07,36502
2007-04-08,56901
2007-04-09,12622
2007-04-10,14927
2007-04-11,16390
2007-04-12,9085
2007-04-13,9026
2007-04-14,61358
2007-04-15,61993
2007-04-16,12590
2007-04-17,23156
2007-04-18,20582
2007-04-19,23675
2007-04-20,19329
2007-04-21,22813
2007-04-22,52551
2007-04-23,19997
2007-04-24,26994
2007-04-25,28663
2007-04-26,27143
2007-04-27,30306
2007-04-28,63057
2007-04-29,66917
2007-04-30,14862
2007-05-01,14543
2007-05-02,13354
2007-05-03,14843
2007-05-04,25041
2007-05-05,65727
2007-05-06,39337
2007-05-07,15703
2007-05-08,13387
2007-05-09,14408
2007-05-10,20842
2007-05-11,31899
2007-05-12,11270
2007-05-13,52285
2007-05-14,14405
2007-05-15,24392
2007-05-16,3346
2007-05-17,14318
2007-05-18,14917
2007-05-19,31447
2007-05-20,50442
2007-05-21,13679
2007-05-22,17902
2007-05-23,20369
2007-05-24,13052
2007-05-25,25817
2007-05-26,58418
2007-05-27,50520
2007-05-28,11450
2007-05-29,6429
2007-05-30,11628
2007-05-31,12996
2007-06-01,12996
2007-06-02,31032
2007-06-03,42838
2007-06-04,8490
2007-06-05,13816
2007-06-06,59134
2007-06-07,10739
2007-06-08,13697
2007-06-09,39670
2007-06-10,37721
2007-06-11,8309
2007-06-12,8831
2007-06-13,10489
2007-06-14,8519
2007-06-15,13994
2007-06-16,21668
2007-06-17,28617
2007-06-18,5070
2007-06-19,6196
2007-06-20,6758
2007-06-21,1790
2007-06-22,6403
2007-06-23,21378
2007-06-24,14888
2007-06-25,3418
2007-06-26,6042
2007-06-27,5252
2007-06-28,902
2007-06-29,3018
2007-06-30,16242
2007-07-01,5522
2007-07-02,977
2007-07-03,4369
2007-07-04,1279
2007-07-05,3501
2007-07-06,3785
2007-07-07,13850
2007-07-08,19869
2007-07-09,3354
2007-07-10,2452
2007-07-11,1292
2007-07-12,4275
2007-07-13,4199
2007-07-14,21590
2007-07-15,23780
2007-07-16,2717
2007-07-17,33429
2007-07-18,4092
2007-07-19,464
2007-07-20,3950
2007-07-21,12311
2007-07-22,24255
2007-07-23,6712
2007-07-24,3370
2007-07-25,4255
2007-07-26,7002
2007-07-27,6829
2007-07-28,16614
2007-07-29,15843
2007-07-30,13193
2007-07-31,11970
2007-08-01,11616
2007-08-02,12986
2007-08-03,16476
2007-08-04,4517
2007-08-05,23072
2007-08-06,8288
2007-08-07,1246
2007-08-08,1579
2007-08-09,3557
2007-08-10,5899
2007-08-11,17881
2007-08-12,9757
2007-08-13,6926
2007-08-14,3602
2007-08-15,32083
2007-08-16,6656
2007-08-17,6605
2007-08-18,21777
2007-08-19,16511
2007-08-20,4318
2007-08-21,4871
2007-08-22,4124
2007-08-23,4869
2007-08-24,5160
2007-08-25,14611
2007-08-26,14752
2007-08-27,2189
2007-08-28,3096
2007-08-29,2728
2007-08-30,3507
2007-08-31,5523
2007-09-01,2605
2007-09-02,11264
2007-09-03,3644
2007-09-04,4087
2007-09-05,2446
2007-09-06,1433
2007-09-07,4618
2007-09-08,34614
2007-09-09,35937
2007-09-10,4572
2007-09-11,6740
2007-09-12,4983
2007-09-13,7031
2007-09-14,7367
2007-09-15,6189
2007-09-16,12184
2007-09-17,5649
2007-09-18,1782
2007-09-19,1251
2007-09-20,3446
2007-09-21,5160
2007-09-22,14249
2007-09-23,27617
2007-09-24,28142
2007-09-25,31188
2007-09-26,35704
2007-09-27,2740
2007-09-28,7562
2007-09-29,21150
2007-09-30,12163
2007-10-01,3762
2007-10-02,10310
2007-10-03,35102
2007-10-04,5958
2007-10-05,11160
2007-10-06,28699
2007-10-07,33602
2007-10-08,11376
2007-10-09,12570
2007-10-10,12554
2007-10-11,15140
2007-10-12,25000
2007-10-13,33275
2007-10-14,40408
2007-10-15,9912
2007-10-16,12132
2007-10-17,15741
2007-10-18,18281
2007-10-19,13791
2007-10-20,12992
2007-10-21,29932
2007-10-22,12247
2007-10-23,12603
2007-10-24,10884
2007-10-25,14430
2007-10-26,20163
2007-10-27,47421
2007-10-28,33645
2007-10-29,6609
2007-10-30,9967
2007-10-31,7674
2007-11-01,8338
2007-11-02,8286
2007-11-03,22404
2007-11-04,44239
2007-11-05,5054
2007-11-06,7286
2007-11-07,6361
2007-11-08,6384
2007-11-09,7507
2007-11-10,21475
2007-11-11,23922
2007-11-12,4203
2007-11-13,3223
2007-11-14,3570
2007-11-15,3919
2007-11-16,3235
2007-11-17,6039
2007-11-18,5088
2007-11-19,1207
2007-11-20,1052
2007-11-21,1234
2007-11-22,1687
2007-11-23,720
2007-11-24,7957
2007-11-25,14072
2007-11-26,861
2007-11-27,1564
2007-11-28,1653
2007-11-29,1715
2007-11-30,1500
2007-12-01,4801
2007-12-02,6233
2007-12-03,1310
2007-12-04,1255
2007-12-05,857
2007-12-06,851
2007-12-07,826
2007-12-08,3807
2007-12-09,6230
2007-12-10,1076
2007-12-11,1185
2007-12-12,1472
2007-12-13,1213
2007-12-14,1134
2007-12-15,2449
2007-12-16,5202
2007-12-17,1121
2007-12-18,1086
2007-12-19,5489
2007-12-20,1272
2007-12-21,1119
2007-12-22,4894
2007-12-23,6108
2007-12-24,3102
2007-12-25,17096
2007-12-26,2760
2007-12-27,2299
2007-12-28,1040
2007-12-29,2583
2007-12-30,1703
2007-12-31,1225
2008-01-01,2475
2008-01-02,1457
2008-01-03,1920
2008-01-04,2292
2008-01-05,6492
2008-01-06,9222
2008-01-07,2067
2008-01-08,1981
2008-01-09,2213
2008-01-10,2048
2008-01-11,783
2008-01-12,3899
2008-01-13,3808
2008-01-14,1530
2008-01-15,1264
2008-01-16,1039
2008-01-17,939
2008-01-18,1498
2008-01-19,4227
2008-01-20,5462
2008-01-21,1070
2008-01-22,1037
2008-01-23,1637
2008-01-24,853
2008-01-25,1191
2008-01-26,4699
2008-01-27,9537
2008-01-28,1704
2008-01-29,1975
2008-01-30,1453
2008-01-31,1185
2008-02-01,1377
2008-02-02,4740
2008-02-03,6297
2008-02-04,1438
2008-02-05,1260
2008-02-06,3148
2008-02-07,5255
2008-02-08,9252
2008-02-09,7656
2008-02-10,7171
2008-02-11,1303
2008-02-12,616
2008-02-13,605
2008-02-14,1298
2008-02-15,1068
2008-02-16,3040
2008-02-17,6118
2008-02-18,1841
2008-02-19,2230
2008-02-20,2260
2008-02-21,2888
2008-02-22,2521
2008-02-23,4272
2008-02-24,9111
2008-02-25,1762
2008-02-26,1192
2008-02-27,2545
2008-02-28,3855
2008-02-29,3149
2008-03-01,25391
2008-03-02,4460
2008-03-03,1852
2008-03-04,1467
2008-03-05,2187
2008-03-06,1303
2008-03-07,2547
2008-03-08,26323
2008-03-09,36482
2008-03-10,2940
2008-03-11,3679
2008-03-12,4424
2008-03-13,1526
2008-03-14,4384
2008-03-15,29675
2008-03-16,33461
2008-03-17,4791
2008-03-18,5415
2008-03-19,3480
2008-03-20,5172
2008-03-21,6594
2008-03-22,40347
2008-03-23,3391
2008-03-24,3557
2008-03-25,1635
2008-03-26,3150
2008-03-27,2778
2008-03-28,6765
2008-03-29,2082
2008-03-30,20741
2008-03-31,4472
2008-04-01,7039
2008-04-02,1639
2008-04-03,7992
2008-04-04,9292
2008-04-05,51741
2008-04-06,57938
2008-04-07,9720
2008-04-08,18542
2008-04-09,40208
2008-04-10,11751
2008-04-11,16829
2008-04-12,69461
2008-04-13,54357
2008-04-14,18890
2008-04-15,24127
2008-04-16,18643
2008-04-17,24496
2008-04-18,20789
2008-04-19,50374
2008-04-20,62895
2008-04-21,18764
2008-04-22,18852
2008-04-23,16884
2008-04-24,25940
2008-04-25,14605
2008-04-26,28593
2008-04-27,23456
2008-04-28,25414
2008-04-29,18870
2008-04-30,21114
2008-05-01,45421
2008-05-02,29016
2008-05-03,50027
2008-05-04,56736
2008-05-05,73938
2008-05-06,15317
2008-05-07,7707
