,ds,trend,yhat_lower,yhat_upper,trend_lower,trend_upper,additive_terms,additive_terms_lower,additive_terms_upper,weekly,weekly_lower,weekly_upper,yearly,yearly_lower,yearly_upper,multiplicative_terms,multiplicative_terms_lower,multiplicative_terms_upper,yhat
64,2004-09-03,20341.639689395703,-7289.44019167882,36612.6887862985,20341.639689395703,20341.639689395703,-6828.5159190608465,-6828.5159190608465,-6828.5159190608465,-4341.302359117323,-4341.302359117323,-4341.302359117323,-2487.213559943523,-2487.213559943523,-2487.213559943523,0.0,0.0,0.0,13513.123770334856
65,2004-09-04,20344.263979227693,10315.394446678147,52970.43401054307,20344.263979227693,20344.263979227693,11356.122031013547,11356.122031013547,11356.122031013547,13624.105456455407,13624.105456455407,13624.105456455407,-2267.9834254418583,-2267.9834254418583,-2267.9834254418583,0.0,0.0,0.0,31700.38601024124
66,2004-09-05,20346.888269059684,14614.81297254451,56661.44911778248,20346.888269059684,20346.888269059684,16382.960709837416,16382.960709837416,16382.960709837416,18383.48319188899,18383.48319188899,18383.48319188899,-2000.5224820515775,-2000.5224820515775,-2000.5224820515775,0.0,0.0,0.0,36729.8489788971
67,2004-09-06,20349.512558891674,-9913.614738894137,33939.059041292334,20349.512558891674,20349.512558891674,-8493.836906674316,-8493.836906674316,-8493.836906674316,-6811.619211705659,-6811.619211705659,-6811.619211705659,-1682.2176949686577,-1682.2176949686577,-1682.2176949686577,0.0,0.0,0.0,11855.675652217358
68,2004-09-07,20352.13684872366,-8204.65399725315,32792.419465526495,20352.13684872366,20352.13684872366,-7996.548281412794,-7996.548281412794,-7996.548281412794,-6685.388899099301,-6685.388899099301,-6685.388899099301,-1311.1593823134933,-1311.1593823134933,-1311.1593823134933,0.0,0.0,0.0,12355.588567310868
69,2004-09-08,20354.761138555652,-9586.877579752567,32740.652674106113,20354.761138555652,20354.761138555652,-8346.667874560493,-8346.667874560493,-8346.667874560493,-7460.470982411989,-7460.470982411989,-7460.470982411989,-886.1968921485039,-886.1968921485039,-886.1968921485039,0.0,0.0,0.0,12008.093263995159
70,2004-09-09,20357.385428387643,-6440.530402147388,34997.54666417656,20357.385428387643,20357.385428387643,-7115.785937923684,-7115.785937923684,-7115.785937923684,-6708.807196009443,-6708.807196009443,-6708.807196009443,-406.97874191424154,-406.97874191424154,-406.97874191424154,0.0,0.0,0.0,13241.59949046396
71,2004-09-10,20360.009718219637,-4831.881895590608,36268.33632319956,20360.009718219637,20360.009718219637,-4215.278753668243,-4215.278753668243,-4215.278753668243,-4341.302359124766,-4341.302359124766,-4341.302359124766,126.02360545652354,126.02360545652354,126.02360545652354,0.0,0.0,0.0,16144.730964551394
72,2004-09-11,20362.634008051624,14241.59148461471,55013.45953471627,20362.634008051624,20362.634008051624,14335.614184754764,14335.614184754764,14335.614184754764,13624.105456484127,13624.105456484127,13624.105456484127,711.5087282706372,711.5087282706372,711.5087282706372,0.0,0.0,0.0,34698.248192806386
73,2004-09-12,20365.258297883614,18864.708609504796,61554.02530701411,20365.258297883614,20365.258297883614,19730.838157964037,19730.838157964037,19730.838157964037,18383.483191882246,18383.483191882246,18383.483191882246,1347.3549660817896,1347.3549660817896,1347.3549660817896,0.0,0.0,0.0,40096.096455847655
74,2004-09-13,20367.882587715605,-5704.408479655077,36364.38443404862,20367.882587715605,20367.882587715605,-4780.97278822485,-4780.97278822485,-4780.97278822485,-6811.619211720066,-6811.619211720066,-6811.619211720066,2030.646423495217,2030.646423495217,2030.646423495217,0.0,0.0,0.0,15586.909799490755
75,2004-09-14,20370.506877547596,-5820.8546681003945,38655.19249466283,20370.506877547596,20370.506877547596,-3927.6744900926465,-3927.6744900926465,-3927.6744900926465,-6685.388899105406,-6685.388899105406,-6685.388899105406,2757.71440901276,2757.71440901276,2757.71440901276,0.0,0.0,0.0,16442.83238745495
76,2004-09-15,20373.131167379586,-6259.191389562118,37691.15200575366,20373.131167379586,20373.131167379586,-3936.2778902995688,-3936.2778902995688,-3936.2778902995688,-7460.470982407823,-7460.470982407823,-7460.470982407823,3524.1930921082544,3524.1930921082544,3524.1930921082544,0.0,0.0,0.0,16436.853277080016
77,2004-09-16,20375.755457211577,-3876.3034480292004,40091.48033459026,20375.755457211577,20375.755457211577,-2383.7193613860786,-2383.7193613860786,-2383.7193613860786,-6708.8071960175475,-6708.8071960175475,-6708.8071960175475,4325.087834631469,4325.087834631469,4325.087834631469,0.0,0.0,0.0,17992.036095825497
78,2004-09-17,20378.379747043567,288.07045986946684,41886.55455236741,20378.379747043567,20378.379747043567,813.5520153896313,813.5520153896313,813.5520153896313,-4341.302359108287,-4341.302359108287,-4341.302359108287,5154.85437449792,5154.85437449792,5154.85437449792,0.0,0.0,0.0,21191.9317624332
79,2004-09-18,20381.004036875558,18547.806246347965,61333.14773597661,20381.004036875558,20381.004036875558,19631.592273779177,19631.592273779177,19631.592273779177,13624.105456458814,13624.105456458814,13624.105456458814,6007.486817320364,6007.486817320364,6007.486817320364,0.0,0.0,0.0,40012.596310654735
80,2004-09-19,20383.62832670755,23693.01797010884,67918.80623420516,20383.62832670755,20383.62832670755,25260.095421784798,25260.095421784798,25260.095421784798,18383.4831919042,18383.4831919042,18383.4831919042,6876.612229880599,6876.612229880599,6876.612229880599,0.0,0.0,0.0,45643.723748492346
81,2004-09-20,20386.25261653954,-1242.6927316732506,42248.597845344746,20386.25261653954,20386.25261653954,943.9703196911172,943.9703196911172,943.9703196911172,-6811.6192116991,-6811.6192116991,-6811.6192116991,7755.589531390217,7755.589531390217,7755.589531390217,0.0,0.0,0.0,21330.222936230657
82,2004-09-21,20388.876906371526,1500.8771039136218,43798.52982155238,20388.876906371526,20388.876906371526,1952.2214462887187,1952.2214462887187,1952.2214462887187,-6685.38889910328,-6685.38889910328,-6685.38889910328,8637.610345391999,8637.610345391999,8637.610345391999,0.0,0.0,0.0,22341.098352660243
83,2004-09-22,20391.50119620352,1490.0153406468417,44506.422593127376,20391.50119620352,20391.50119620352,2055.3285238968742,2055.3285238968742,2055.3285238968742,-7460.470982403654,-7460.470982403654,-7460.470982403654,9515.799506300527,9515.799506300527,9515.799506300527,0.0,0.0,0.0,22446.829720100395
84,2004-09-23,20394.12548603551,4611.797679608732,49063.56276849785,20394.12548603551,20394.12548603551,3674.5058113851455,3674.5058113851455,3674.5058113851455,-6708.807196004783,-6708.807196004783,-6708.807196004783,10383.313007389928,10383.313007389928,10383.313007389928,0.0,0.0,0.0,24068.631297420656
85,2004-09-24,20396.7497758675,5950.2641454925715,48747.96815024881,20396.7497758675,20396.7497758675,6892.128968105014,6892.128968105014,6892.128968105014,-4341.30235909181,-4341.30235909181,-4341.30235909181,11233.431327196824,11233.431327196824,11233.431327196824,0.0,0.0,0.0,27288.878743972517
86,2004-09-25,20399.37406569949,24215.08438546047,66606.75727130314,20399.37406569949,20399.37406569949,25683.751729583673,25683.751729583673,25683.751729583673,13624.105456433495,13624.105456433495,13624.105456433495,12059.646273150176,12059.646273150176,12059.646273150176,0.0,0.0,0.0,46083.125795283166
87,2004-09-26,20401.99835553148,30293.174439919512,73407.22591994025,20401.99835553148,20401.99835553148,31239.222919178326,31239.222919178326,31239.222919178326,18383.483191897452,18383.483191897452,18383.483191897452,12855.739727280876,12855.739727280876,12855.739727280876,0.0,0.0,0.0,51641.22127470981
88,2004-09-27,20404.62264536347,5291.814013016438,49204.853685007605,20404.62264536347,20404.62264536347,6804.233749388571,6804.233749388571,6804.233749388571,-6811.619211706648,-6811.619211706648,-6811.619211706648,13615.85296109522,13615.85296109522,13615.85296109522,0.0,0.0,0.0,27208.85639475204
89,2004-09-28,20407.246935195464,5032.049980233277,50234.60504819583,20407.246935195464,20407.246935195464,7649.156596571311,7649.156596571311,7649.156596571311,-6685.3888990973655,-6685.3888990973655,-6685.3888990973655,14334.545495668677,14334.545495668677,14334.545495668677,0.0,0.0,0.0,28056.403531766773
